Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
2017/18,1,Action Fraud,Fraud offences recorded by Action Fraud,Fraud offences,Fraud: action fraud,AF, 66776 
2017/18,1,Avon and Somerset,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 2 
2017/18,1,Avon and Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 6 
2017/18,1,Avon and Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73, 1 
2017/18,1,Avon and Somerset,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A, 2 
2017/18,1,Avon and Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,1,Avon and Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,1,Avon and Somerset,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 22 
2017/18,1,Avon and Somerset,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 22 
2017/18,1,Avon and Somerset,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,1,Avon and Somerset,Arson endangering life,Criminal damage and arson,Arson,56A, 43 
2017/18,1,Avon and Somerset,Arson not endangering life,Criminal damage and arson,Arson,56B, 204 
2017/18,1,Avon and Somerset,Assault with injury,Violence against the person,Violence with injury,8N, 2863 
2017/18,1,Avon and Somerset,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 68 
2017/18,1,Avon and Somerset,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 149 
2017/18,1,Avon and Somerset,Assault without injury,Violence against the person,Violence without injury,105A, 3724 
2017/18,1,Avon and Somerset,Assault without injury on a constable,Violence against the person,Violence without injury,104, 124 
2017/18,1,Avon and Somerset,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 130 
2017/18,1,Avon and Somerset,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,1,Avon and Somerset,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,1,Avon and Somerset,Attempted Burglary Residential,Theft offences,Domestic burglary,28F, 364 
2017/18,1,Avon and Somerset,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,1,Avon and Somerset,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,-00 
2017/18,1,Avon and Somerset,Attempted murder,Violence against the person,Violence with injury,2, 9 
2017/18,1,Avon and Somerset,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83, 2 
2017/18,1,Avon and Somerset,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,1,Avon and Somerset,Blackmail,Theft offences,Other theft offences,35, 44 
2017/18,1,Avon and Somerset,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 761 
2017/18,1,Avon and Somerset,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,1,Avon and Somerset,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,1,Avon and Somerset,Burglary Residential,Theft offences,Domestic burglary,28E, 1755 
2017/18,1,Avon and Somerset,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,1,Avon and Somerset,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,1,Avon and Somerset,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8,-00 
2017/18,1,Avon and Somerset,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,1,Avon and Somerset,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4,-00 
2017/18,1,Avon and Somerset,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,1,Avon and Somerset,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A, 7 
2017/18,1,Avon and Somerset,Child abduction,Violence against the person,Violence without injury,13, 11 
2017/18,1,Avon and Somerset,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,1,Avon and Somerset,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,1,Avon and Somerset,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 390 
2017/18,1,Avon and Somerset,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 728 
2017/18,1,Avon and Somerset,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 1877 
2017/18,1,Avon and Somerset,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 192 
2017/18,1,Avon and Somerset,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 15 
2017/18,1,Avon and Somerset,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95, 2 
2017/18,1,Avon and Somerset,Dishonest use of electricity,Theft offences,Other theft offences,43, 2 
2017/18,1,Avon and Somerset,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,1,Avon and Somerset,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 13 
2017/18,1,Avon and Somerset,Endangering life,Violence against the person,Violence with injury,5E, 4 
2017/18,1,Avon and Somerset,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24, 6 
2017/18,1,Avon and Somerset,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 74 
2017/18,1,Avon and Somerset,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60, 3 
2017/18,1,Avon and Somerset,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814, 9 
2017/18,1,Avon and Somerset,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 16 
2017/18,1,Avon and Somerset,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 17 
2017/18,1,Avon and Somerset,Harassment,Violence against the person,Stalking and harassment,8L, 1074 
2017/18,1,Avon and Somerset,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,Avon and Somerset,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,Avon and Somerset,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,1,Avon and Somerset,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,1,Avon and Somerset,Incest or familial sexual offences,Sexual offences,Other sexual offences,23, 9 
2017/18,1,Avon and Somerset,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,1,Avon and Somerset,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 498 
2017/18,1,Avon and Somerset,Kidnapping,Violence against the person,Violence without injury,36, 43 
2017/18,1,Avon and Somerset,Making off without payment,Theft offences,Other theft offences,49A, 458 
2017/18,1,Avon and Somerset,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A,-00 
2017/18,1,Avon and Somerset,Malicious Communications,Violence against the person,Stalking and harassment,8R, 1771 
2017/18,1,Avon and Somerset,Modern slavery,Violence against the person,Violence without injury,106, 30 
2017/18,1,Avon and Somerset,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 121 
2017/18,1,Avon and Somerset,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 17 
2017/18,1,Avon and Somerset,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 1109 
2017/18,1,Avon and Somerset,Other drug offences,Drug offences,Possession of drugs,92C, 4 
2017/18,1,Avon and Somerset,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81, 8 
2017/18,1,Avon and Somerset,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 69 
2017/18,1,Avon and Somerset,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,1,Avon and Somerset,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C, 1 
2017/18,1,Avon and Somerset,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 53 
2017/18,1,Avon and Somerset,Other offences against the State or public order,Public order offences,Public order offences,66, 576 
2017/18,1,Avon and Somerset,Other theft,Theft offences,Other theft offences,49, 2840 
2017/18,1,Avon and Somerset,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,-00 
2017/18,1,Avon and Somerset,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 56 
2017/18,1,Avon and Somerset,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 82 
2017/18,1,Avon and Somerset,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 471 
2017/18,1,Avon and Somerset,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 165 
2017/18,1,Avon and Somerset,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A,-00 
2017/18,1,Avon and Somerset,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 14 
2017/18,1,Avon and Somerset,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 10 
2017/18,1,Avon and Somerset,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 66 
2017/18,1,Avon and Somerset,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,1,Avon and Somerset,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 8 
2017/18,1,Avon and Somerset,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 3784 
2017/18,1,Avon and Somerset,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 22 
2017/18,1,Avon and Somerset,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 52 
2017/18,1,Avon and Somerset,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 20 
2017/18,1,Avon and Somerset,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M, 14 
2017/18,1,Avon and Somerset,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 402 
2017/18,1,Avon and Somerset,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 333 
2017/18,1,Avon and Somerset,Rape of a female child under 13,Sexual offences,Rape offences,19E, 33 
2017/18,1,Avon and Somerset,Rape of a female child under 16,Sexual offences,Rape offences,19D, 60 
2017/18,1,Avon and Somerset,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F, 15 
2017/18,1,Avon and Somerset,Rape of a male child under 13,Sexual offences,Rape offences,19H, 13 
2017/18,1,Avon and Somerset,Rape of a male child under 16,Sexual offences,Rape offences,19G, 12 
2017/18,1,Avon and Somerset,Robbery of business property,Robbery,Robbery of business property,34A, 41 
2017/18,1,Avon and Somerset,Robbery of personal property,Robbery,Robbery of personal property,34B, 299 
2017/18,1,Avon and Somerset,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70,-00 
2017/18,1,Avon and Somerset,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21, 24 
2017/18,1,Avon and Somerset,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 46 
2017/18,1,Avon and Somerset,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 282 
2017/18,1,Avon and Somerset,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 59 
2017/18,1,Avon and Somerset,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 45 
2017/18,1,Avon and Somerset,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 36 
2017/18,1,Avon and Somerset,Sexual grooming,Sexual offences,Other sexual offences,88A, 59 
2017/18,1,Avon and Somerset,Shoplifting,Theft offences,Shoplifting,46, 3204 
2017/18,1,Avon and Somerset,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27, 28 
2017/18,1,Avon and Somerset,Stalking,Violence against the person,Stalking and harassment,8Q, 65 
2017/18,1,Avon and Somerset,Theft by an employee,Theft offences,Other theft offences,41, 57 
2017/18,1,Avon and Somerset,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 29 
2017/18,1,Avon and Somerset,Theft from the person,Theft offences,Theft from the person,39, 348 
2017/18,1,Avon and Somerset,Theft from vehicle,Theft offences,Theft from a vehicle,45, 2151 
2017/18,1,Avon and Somerset,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40, 334 
2017/18,1,Avon and Somerset,Theft of mail,Theft offences,Other theft offences,42, 8 
2017/18,1,Avon and Somerset,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 984 
2017/18,1,Avon and Somerset,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 569 
2017/18,1,Avon and Somerset,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 110 
2017/18,1,Avon and Somerset,Threats to kill,Violence against the person,Violence without injury,3B, 189 
2017/18,1,Avon and Somerset,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
2017/18,1,Avon and Somerset,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 169 
2017/18,1,Avon and Somerset,Unnatural sexual offences,Sexual offences,Other sexual offences,88D, 1 
2017/18,1,Avon and Somerset,Violent disorder,Public order offences,Public order offences,62A, 12 
2017/18,1,Avon and Somerset,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96,-00 
2017/18,1,Bedfordshire,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 3 
2017/18,1,Bedfordshire,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 1 
2017/18,1,Bedfordshire,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,-00 
2017/18,1,Bedfordshire,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,-00 
2017/18,1,Bedfordshire,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,1,Bedfordshire,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,1,Bedfordshire,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 7 
2017/18,1,Bedfordshire,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 26 
2017/18,1,Bedfordshire,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,1,Bedfordshire,Arson endangering life,Criminal damage and arson,Arson,56A, 8 
2017/18,1,Bedfordshire,Arson not endangering life,Criminal damage and arson,Arson,56B, 60 
2017/18,1,Bedfordshire,Assault with injury,Violence against the person,Violence with injury,8N, 1072 
2017/18,1,Bedfordshire,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 17 
2017/18,1,Bedfordshire,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 97 
2017/18,1,Bedfordshire,Assault without injury,Violence against the person,Violence without injury,105A, 995 
2017/18,1,Bedfordshire,Assault without injury on a constable,Violence against the person,Violence without injury,104, 52 
2017/18,1,Bedfordshire,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 64 
2017/18,1,Bedfordshire,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,1,Bedfordshire,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,1,Bedfordshire,Attempted Burglary Residential,Theft offences,Domestic burglary,28F, 219 
2017/18,1,Bedfordshire,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,1,Bedfordshire,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H, 2 
2017/18,1,Bedfordshire,Attempted murder,Violence against the person,Violence with injury,2, 4 
2017/18,1,Bedfordshire,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,-00 
2017/18,1,Bedfordshire,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,1,Bedfordshire,Blackmail,Theft offences,Other theft offences,35, 17 
2017/18,1,Bedfordshire,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 309 
2017/18,1,Bedfordshire,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,1,Bedfordshire,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,1,Bedfordshire,Burglary Residential,Theft offences,Domestic burglary,28E, 910 
2017/18,1,Bedfordshire,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,1,Bedfordshire,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,1,Bedfordshire,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8,-00 
2017/18,1,Bedfordshire,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,1,Bedfordshire,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4, 2 
2017/18,1,Bedfordshire,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,1,Bedfordshire,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A,-00 
2017/18,1,Bedfordshire,Child abduction,Violence against the person,Violence without injury,13, 1 
2017/18,1,Bedfordshire,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,1,Bedfordshire,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,1,Bedfordshire,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 141 
2017/18,1,Bedfordshire,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 291 
2017/18,1,Bedfordshire,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 678 
2017/18,1,Bedfordshire,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 5 
2017/18,1,Bedfordshire,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 11 
2017/18,1,Bedfordshire,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,-00 
2017/18,1,Bedfordshire,Dishonest use of electricity,Theft offences,Other theft offences,43, 3 
2017/18,1,Bedfordshire,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,1,Bedfordshire,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 12 
2017/18,1,Bedfordshire,Endangering life,Violence against the person,Violence with injury,5E,-00 
2017/18,1,Bedfordshire,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24, 1 
2017/18,1,Bedfordshire,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 30 
2017/18,1,Bedfordshire,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60,-00 
2017/18,1,Bedfordshire,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814, 1 
2017/18,1,Bedfordshire,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 6 
2017/18,1,Bedfordshire,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 18 
2017/18,1,Bedfordshire,Harassment,Violence against the person,Stalking and harassment,8L, 389 
2017/18,1,Bedfordshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,Bedfordshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,Bedfordshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,Bedfordshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,Bedfordshire,Incest or familial sexual offences,Sexual offences,Other sexual offences,23,-00 
2017/18,1,Bedfordshire,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,1,Bedfordshire,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 151 
2017/18,1,Bedfordshire,Kidnapping,Violence against the person,Violence without injury,36, 15 
2017/18,1,Bedfordshire,Making off without payment,Theft offences,Other theft offences,49A, 329 
2017/18,1,Bedfordshire,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 3 
2017/18,1,Bedfordshire,Malicious Communications,Violence against the person,Stalking and harassment,8R, 188 
2017/18,1,Bedfordshire,Modern slavery,Violence against the person,Violence without injury,106, 1 
2017/18,1,Bedfordshire,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 24 
2017/18,1,Bedfordshire,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 1 
2017/18,1,Bedfordshire,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 359 
2017/18,1,Bedfordshire,Other drug offences,Drug offences,Possession of drugs,92C,-00 
2017/18,1,Bedfordshire,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81,-00 
2017/18,1,Bedfordshire,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61,-00 
2017/18,1,Bedfordshire,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,1,Bedfordshire,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C,-00 
2017/18,1,Bedfordshire,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 7 
2017/18,1,Bedfordshire,Other offences against the State or public order,Public order offences,Public order offences,66, 126 
2017/18,1,Bedfordshire,Other theft,Theft offences,Other theft offences,49, 855 
2017/18,1,Bedfordshire,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,-00 
2017/18,1,Bedfordshire,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 6 
2017/18,1,Bedfordshire,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 55 
2017/18,1,Bedfordshire,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 134 
2017/18,1,Bedfordshire,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 46 
2017/18,1,Bedfordshire,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A,-00 
2017/18,1,Bedfordshire,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 6 
2017/18,1,Bedfordshire,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 5 
2017/18,1,Bedfordshire,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 31 
2017/18,1,Bedfordshire,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,1,Bedfordshire,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 2 
2017/18,1,Bedfordshire,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 401 
2017/18,1,Bedfordshire,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 10 
2017/18,1,Bedfordshire,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 34 
2017/18,1,Bedfordshire,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 13 
2017/18,1,Bedfordshire,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M, 20 
2017/18,1,Bedfordshire,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 109 
2017/18,1,Bedfordshire,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 69 
2017/18,1,Bedfordshire,Rape of a female child under 13,Sexual offences,Rape offences,19E, 4 
2017/18,1,Bedfordshire,Rape of a female child under 16,Sexual offences,Rape offences,19D, 12 
2017/18,1,Bedfordshire,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F,-00 
2017/18,1,Bedfordshire,Rape of a male child under 13,Sexual offences,Rape offences,19H, 5 
2017/18,1,Bedfordshire,Rape of a male child under 16,Sexual offences,Rape offences,19G,-00 
2017/18,1,Bedfordshire,Robbery of business property,Robbery,Robbery of business property,34A, 14 
2017/18,1,Bedfordshire,Robbery of personal property,Robbery,Robbery of personal property,34B, 172 
2017/18,1,Bedfordshire,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70,-00 
2017/18,1,Bedfordshire,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21, 16 
2017/18,1,Bedfordshire,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 30 
2017/18,1,Bedfordshire,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 58 
2017/18,1,Bedfordshire,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 28 
2017/18,1,Bedfordshire,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 12 
2017/18,1,Bedfordshire,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 9 
2017/18,1,Bedfordshire,Sexual grooming,Sexual offences,Other sexual offences,88A, 6 
2017/18,1,Bedfordshire,Shoplifting,Theft offences,Shoplifting,46, 1038 
2017/18,1,Bedfordshire,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27, 1 
2017/18,1,Bedfordshire,Stalking,Violence against the person,Stalking and harassment,8Q, 12 
2017/18,1,Bedfordshire,Theft by an employee,Theft offences,Other theft offences,41, 39 
2017/18,1,Bedfordshire,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 7 
2017/18,1,Bedfordshire,Theft from the person,Theft offences,Theft from the person,39, 152 
2017/18,1,Bedfordshire,Theft from vehicle,Theft offences,Theft from a vehicle,45, 1001 
2017/18,1,Bedfordshire,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40, 116 
2017/18,1,Bedfordshire,Theft of mail,Theft offences,Other theft offences,42, 12 
2017/18,1,Bedfordshire,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 273 
2017/18,1,Bedfordshire,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 261 
2017/18,1,Bedfordshire,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 21 
2017/18,1,Bedfordshire,Threats to kill,Violence against the person,Violence without injury,3B, 69 
2017/18,1,Bedfordshire,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
2017/18,1,Bedfordshire,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 39 
2017/18,1,Bedfordshire,Unnatural sexual offences,Sexual offences,Other sexual offences,88D,-00 
2017/18,1,Bedfordshire,Violent disorder,Public order offences,Public order offences,62A,-00 
2017/18,1,Bedfordshire,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96,-00 
2017/18,1,British Transport Police,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 1 
2017/18,1,British Transport Police,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,-00 
2017/18,1,British Transport Police,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,-00 
2017/18,1,British Transport Police,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,-00 
2017/18,1,British Transport Police,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,1,British Transport Police,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,1,British Transport Police,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A,-00 
2017/18,1,British Transport Police,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 1 
2017/18,1,British Transport Police,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,1,British Transport Police,Arson endangering life,Criminal damage and arson,Arson,56A, 1 
2017/18,1,British Transport Police,Arson not endangering life,Criminal damage and arson,Arson,56B, 25 
